BASE_PRECINCT,WINNER_CANDIDATE_16,WINNER_PARTY_16,MARGIN_PERCENTPOINTS_16,VOTE_SHARE_WINNER_16,WINNER_TEXT_16,CT_WINNER_CANDIDATE_16,CT_WINNER_PARTY_16,CT_WINNER_TEXT_16,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
740,Patrick Murphy (DEM),DEM,1.74,49.41,Patrick Murphy (DEM) won with 49.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Claude Pepper Elementary School,2490,Majority Hispanic,Other,29.4,32.3,9.5,3.7,79.2,7.7,Unincorporated M-D
741,Patrick Murphy (DEM),DEM,2.87,50.51,Patrick Murphy (DEM) won with 50.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,The Crossings Country Club,3191,Majority Hispanic,Other,34,32.7,24.5,4.1,63.1,8.3,Unincorporated M-D
742,Patrick Murphy (DEM),DEM,5.49,51.81,Patrick Murphy (DEM) won with 51.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Vineyard Community Church,3209,Majority Hispanic,Other,31.9,29.4,13.6,4.9,71.8,9.8,Unincorporated M-D
743,Marco Rubio (REP),REP,2.28,49.83,Marco Rubio (REP) won with 49.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Devon Aire Park,1597,Majority Hispanic,Other,30.9,34.4,22.3,2.8,66.3,8.6,Unincorporated M-D
744,Marco Rubio (REP),REP,5.39,51.70,Marco Rubio (REP) won with 51.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Calusa Elementary School,4211,Majority Hispanic,Other,30.2,35.3,18.5,2.5,71.5,7.5,Unincorporated M-D
745,Patrick Murphy (DEM),DEM,3.88,50.75,Patrick Murphy (DEM) won with 50.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Riverside Baptist Church,3580,Majority Hispanic,Other,32.2,32.2,21.4,3.2,66.8,8.7,Unincorporated M-D
746,Patrick Murphy (DEM),DEM,20.61,58.46,Patrick Murphy (DEM) won with 58.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,William Lehman Elementary School,1284,Other,Other,38.9,29.4,41,3.1,49.2,6.7,Unincorporated M-D
747,Patrick Murphy (DEM),DEM,14.00,55.88,Patrick Murphy (DEM) won with 55.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Dade College - Kendall Campus,2173,Majority Hispanic,Other,32.9,30.3,11.9,2.7,78.1,7.3,Unincorporated M-D
748,Marco Rubio (REP),REP,14.43,56.17,Marco Rubio (REP) won with 56.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kendale Elementary School,2341,Majority Hispanic,Other,29.1,41.9,21.8,1.6,69.4,7.3,Unincorporated M-D
749,Marco Rubio (REP),REP,14.08,56.06,Marco Rubio (REP) won with 56.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ron Ehmann Recreation Center,2153,Majority Hispanic,Other,29.2,40.9,33,2.6,58,6.4,Unincorporated M-D
750,Marco Rubio (REP),REP,22.27,60.33,Marco Rubio (REP) won with 60.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kendall Church of God,2971,Majority Hispanic,Other,25.8,44.7,28.6,1.5,62.9,7,Unincorporated M-D
751,Marco Rubio (REP),REP,26.30,61.81,Marco Rubio (REP) won with 61.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Grace A Metro Life Church,1639,Majority Hispanic,Other,26.6,45.9,37.2,1.3,55,6.5,Unincorporated M-D
752,Patrick Murphy (DEM),DEM,9.00,53.50,Patrick Murphy (DEM) won with 53.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Continental Park,3265,Majority Hispanic,Other,37.5,28.5,27.9,3.7,59.5,8.9,Unincorporated M-D
753,Marco Rubio (REP),REP,20.27,58.76,Marco Rubio (REP) won with 58.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Suniland Park,717,Majority Hispanic,Other,30,43.2,38.2,1.4,51.7,8.6,Unincorporated M-D
754,Marco Rubio (REP),REP,1.71,50.09,Marco Rubio (REP) won with 50.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Leewood K-8 Center,2260,Majority Hispanic,Other,34,39.8,40.9,2.7,50.3,6.1,Unincorporated M-D
755,Marco Rubio (REP),REP,21.90,59.85,Marco Rubio (REP) won with 59.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Killian Pines UTD Methodist Church,1203,Majority Hispanic,Other,26.8,46.2,36.1,2.2,55.1,6.7,Unincorporated M-D
756,Marco Rubio (REP),REP,11.00,54.65,Marco Rubio (REP) won with 54.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Gloria Floyd Elementary School,2303,Majority Hispanic,Other,32,41.3,34.5,6.8,50.5,8.2,Unincorporated M-D
757,Patrick Murphy (DEM),DEM,9.81,53.85,Patrick Murphy (DEM) won with 53.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Country Walk Park Recreation Center,3302,Majority Hispanic,Other,35.2,29.5,20.2,6.3,66.1,7.4,Unincorporated M-D
758,Marco Rubio (REP),REP,0.37,48.92,Marco Rubio (REP) won with 48.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami First Church of the Nazarene,2157,Majority Hispanic,Other,29.4,32.6,6.8,3.5,83.1,6.6,Unincorporated M-D
759,Marco Rubio (REP),REP,9.89,54.20,Marco Rubio (REP) won with 54.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Norma Butler Bossard Elementary School,2237,Majority Hispanic,Other,30.3,36.3,12.2,7.3,70.1,10.4,Unincorporated M-D
760,Marco Rubio (REP),REP,19.02,58.45,Marco Rubio (REP) won with 58.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kendall Church of God,1627,Majority Hispanic,Other,26.1,45.8,33.9,2.7,55.6,7.8,Unincorporated M-D
761,Patrick Murphy (DEM),DEM,6.83,51.95,Patrick Murphy (DEM) won with 51.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,West Kendall Regional Library,3414,Majority Hispanic,Other,32.1,29.2,8.2,3.4,80.5,7.9,Unincorporated M-D
762,Patrick Murphy (DEM),DEM,16.33,56.18,Patrick Murphy (DEM) won with 56.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Wild Lime Park,2695,Majority Hispanic,Other,34.4,24.3,13.9,5.9,70.7,9.5,Unincorporated M-D
763,Marco Rubio (REP),REP,15.09,56.25,Marco Rubio (REP) won with 56.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Sunset Sr. High School,2328,Majority Hispanic,Other,25.4,38,10,1.5,81.3,7.2,Unincorporated M-D
764,Marco Rubio (REP),REP,10.49,54.06,Marco Rubio (REP) won with 54.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bowman Ashe/Doolin K-8 Academy,5069,Majority Hispanic,Other,25.8,37.7,6.8,1.7,83.1,8.5,Unincorporated M-D
765,Patrick Murphy (DEM),DEM,6.43,51.79,Patrick Murphy (DEM) won with 51.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,General Conference Seventh-day Adventist Church,2858,Majority Hispanic,Other,31.7,32.1,16.2,3.8,73.8,6.2,Unincorporated M-D
766,Patrick Murphy (DEM),DEM,19.50,58.40,Patrick Murphy (DEM) won with 58.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dr. Gilbert L. Porter Elementary School,2997,Majority Hispanic,Other,33.8,24.4,12.2,4,74.1,9.6,Unincorporated M-D
767,Patrick Murphy (DEM),DEM,8.95,53.45,Patrick Murphy (DEM) won with 53.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Calusa Elementary School,2556,Majority Hispanic,Other,30.8,30.2,9.8,5,75.9,9.3,Unincorporated M-D
768,Marco Rubio (REP),REP,3.34,50.52,Marco Rubio (REP) won with 50.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Deerwood Bonita Lakes Park,751,Majority Hispanic,Other,30.8,31.6,23.6,4.5,58.9,13,Unincorporated M-D
769,Patrick Murphy (DEM),DEM,1.89,49.92,Patrick Murphy (DEM) won with 49.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Arvida Middle School,1792,Majority Hispanic,Other,31.6,34.9,24.4,2.7,63.3,9.6,Unincorporated M-D
770,Marco Rubio (REP),REP,13.96,55.64,Marco Rubio (REP) won with 55.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kendall Village Center,2907,Majority Hispanic,Other,26.9,36.2,9.4,2.1,79.8,8.7,Unincorporated M-D
771,Patrick Murphy (DEM),DEM,4.86,51.68,Patrick Murphy (DEM) won with 51.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Killian Pines UTD Methodist Church,2474,Majority Hispanic,Other,34.5,33.5,27.9,2.8,61.2,8,Unincorporated M-D
772,Marco Rubio (REP),REP,9.97,53.68,Marco Rubio (REP) won with 53.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,McMillan Park,2973,Majority Hispanic,Other,25.4,36.3,5.4,0.8,87.3,6.4,Unincorporated M-D
773,Marco Rubio (REP),REP,33.57,65.89,Marco Rubio (REP) won with 65.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bird Lakes Park,3208,Majority Hispanic,Other,20.7,43.8,5.3,0.7,86.9,7.1,Unincorporated M-D
774,Patrick Murphy (DEM),DEM,9.03,53.22,Patrick Murphy (DEM) won with 53.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Hammocks Middle School,2313,Majority Hispanic,Other,32.3,28.7,6.7,2.8,83.3,7.3,Unincorporated M-D
775,Marco Rubio (REP),REP,3.71,50.85,Marco Rubio (REP) won with 50.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Westwind Lakes Park,3256,Majority Hispanic,Other,28.4,34.1,8.8,3.2,80,8,Unincorporated M-D
776,Patrick Murphy (DEM),DEM,5.60,51.51,Patrick Murphy (DEM) won with 51.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Eureka Park,3879,Majority Hispanic,Other,30.4,31.7,8.5,6.5,77,8,Unincorporated M-D
777,Marco Rubio (REP),REP,31.78,64.95,Marco Rubio (REP) won with 65% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Elk's Lodge #948,866,Majority Hispanic,Other,23.2,47,23.9,0.7,67.7,7.7,Unincorporated M-D
778,Marco Rubio (REP),REP,60.87,79.50,Marco Rubio (REP) won with 79.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Snapper Creek Elementary School,865,Majority Hispanic,Heavily Republican,16.5,59.2,17.6,0.7,74.8,6.9,Unincorporated M-D
779,Marco Rubio (REP),REP,27.66,62.87,Marco Rubio (REP) won with 62.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Snapper Creek Elementary School,1144,Majority Hispanic,Other,24,44.6,15.1,0.6,76.3,8,Unincorporated M-D
781,Marco Rubio (REP),REP,30.17,64.70,Marco Rubio (REP) won with 64.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Dade College - Kendall Campus,835,Majority Hispanic,Other,25,44.6,26.7,0.4,64.3,8.6,Unincorporated M-D
782,Marco Rubio (REP),REP,10.37,54.24,Marco Rubio (REP) won with 54.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ramblewood Condominium,1626,Majority Hispanic,Other,27.6,36.4,9,1.2,83.1,6.6,Unincorporated M-D
783,Marco Rubio (REP),REP,1.57,49.73,Marco Rubio (REP) won with 49.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Suniland Park,2452,Other,Other,35,34.1,35,8.1,48.2,8.7,Unincorporated M-D
784,Marco Rubio (REP),REP,7.55,52.65,Marco Rubio (REP) won with 52.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kendall Square K-8 Center,2870,Majority Hispanic,Other,28.9,32.5,8.2,2.4,80.8,8.5,Unincorporated M-D
785,Patrick Murphy (DEM),DEM,3.84,50.62,Patrick Murphy (DEM) won with 50.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kendale Lakes Elementary School,1288,Majority Hispanic,Other,27.8,33.6,9.8,2.9,79.8,7.5,Unincorporated M-D
786,Marco Rubio (REP),REP,6.49,52.53,Marco Rubio (REP) won with 52.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Faith International Fellowship,2949,Majority Hispanic,Other,26.7,36.7,10.4,4.7,75.6,9.2,Unincorporated M-D
787,Marco Rubio (REP),REP,22.03,58.76,Marco Rubio (REP) won with 58.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Faith International Fellowship,274,Majority Hispanic,Other,21.9,46.7,20.4,2.9,68.6,8,Unincorporated M-D
788,Patrick Murphy (DEM),DEM,6.54,52.27,Patrick Murphy (DEM) won with 52.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Vineyard Community Church,1949,Majority Hispanic,Other,34.3,30.1,17.5,4.1,68.7,9.8,Unincorporated M-D
789,Marco Rubio (REP),REP,72.00,86.00,Marco Rubio (REP) won with 86% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Faith International Fellowship,81,Majority Hispanic,Other,24.7,49.4,13.6,1.2,77.8,7.4,Unincorporated M-D
790,Marco Rubio (REP),REP,76.32,86.84,Marco Rubio (REP) won with 86.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Norma Butler Bossard Elementary School,121,Majority Hispanic,Heavily Republican,11.6,58.7,9.9,0,85.1,5,Unincorporated M-D
791,Patrick Murphy (DEM),DEM,23.40,60.00,Patrick Murphy (DEM) won with 60% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Gloria Floyd Elementary School,741,Majority Hispanic,Other,38.6,26.9,10.8,12.8,66.9,9.4,Unincorporated M-D
792,Patrick Murphy (DEM),DEM,1.42,49.75,Patrick Murphy (DEM) won with 49.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Our Lady of Lourdes Catholic Church,2027,Majority Hispanic,Other,31.8,33.1,19.3,3.3,70.2,7.3,Unincorporated M-D
793,Marco Rubio (REP),REP,5.83,52.14,Marco Rubio (REP) won with 52.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kendale Lakes Branch Library,2041,Majority Hispanic,Other,27.6,34.1,11.4,3.5,75.6,9.5,Unincorporated M-D
794,Marco Rubio (REP),REP,1.87,50.06,Marco Rubio (REP) won with 50.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Unity Center of Miami,2653,Majority Hispanic,Other,32.2,35.5,19.4,9.6,62.3,8.6,Unincorporated M-D
796,Marco Rubio (REP),REP,44.19,72.09,Marco Rubio (REP) won with 72.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kendale Lakes Branch Library,146,Majority Hispanic,Other,16.4,48.6,10.3,6.2,81.5,2.1,Unincorporated M-D
797,Marco Rubio (REP),REP,15.58,56.73,Marco Rubio (REP) won with 56.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami-Dade County Fire Station #56,3203,Majority Hispanic,Other,25.1,33.3,7.5,2.2,79.5,10.8,Unincorporated M-D
798,Marco Rubio (REP),REP,25.81,61.88,Marco Rubio (REP) won with 61.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dr. Manuel C. Barreiro Elementary School,5390,Majority Hispanic,Other,20.9,41.7,7.1,1,84.9,7,Unincorporated M-D
800,Patrick Murphy (DEM),DEM,3.74,50.64,Patrick Murphy (DEM) won with 50.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miccosukee Golf & Country Club,1987,Majority Hispanic,Other,30.4,33.8,6.1,1.8,85.5,6.6,Unincorporated M-D
801,Patrick Murphy (DEM),DEM,73.13,85.63,Patrick Murphy (DEM) won with 85.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sgt. Joseph Delancy Park,1918,Majority Black,Heavily Democrat,67.8,12.2,1.8,64.8,28.4,5.1,Unincorporated M-D
802,Patrick Murphy (DEM),DEM,77.26,87.14,Patrick Murphy (DEM) won with 87.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dorothy M. Wallace C.O.P.E. Center,1894,Majority Black,Heavily Democrat,70.2,9,1.5,67.1,25.2,6.2,Unincorporated M-D
803,Patrick Murphy (DEM),DEM,83.49,90.98,Patrick Murphy (DEM) won with 91% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Richmond Heights Middle School,1828,Majority Black,Heavily Democrat,70.2,8.6,1.6,72,20.1,6.2,Unincorporated M-D
804,Marco Rubio (REP),REP,0.65,49.29,Marco Rubio (REP) won with 49.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Coral Reef Branch Library,1952,Other,Other,33.1,39.1,38.8,5.2,47.3,8.7,Unincorporated M-D
805,Patrick Murphy (DEM),DEM,16.64,56.74,Patrick Murphy (DEM) won with 56.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,St. Luke the Physician Episcopal Church,2834,Majority Hispanic,Other,33.7,27,12.6,4.5,75.2,7.7,Unincorporated M-D
806,Patrick Murphy (DEM),DEM,15.08,56.64,Patrick Murphy (DEM) won with 56.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Coral Reef Elementary School,1566,Majority White,Other,38.8,32.2,50.1,2.4,38.3,9.3,Palmetto Bay
807,Patrick Murphy (DEM),DEM,10.25,54.26,Patrick Murphy (DEM) won with 54.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Howard Drive Elementary School,1598,Other,Other,36.7,33.6,44.7,2.9,41.1,11.3,Palmetto Bay
808,Marco Rubio (REP),REP,19.56,58.55,Marco Rubio (REP) won with 58.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,St. Andrews Episcopal Church,1020,Majority White,Other,31.5,41.3,52,2.8,36.4,8.8,Palmetto Bay
809,Marco Rubio (REP),REP,22.73,60.71,Marco Rubio (REP) won with 60.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Christ Congregational Church,426,Majority White,Other,23.7,47.7,53.8,1.2,40.4,4.7,Palmetto Bay
810,Patrick Murphy (DEM),DEM,1.21,49.67,Patrick Murphy (DEM) won with 49.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,St. Richard Parish Center,3337,Majority White,Other,36.8,35.4,51.2,1.7,37.6,9.5,Palmetto Bay
811,Patrick Murphy (DEM),DEM,19.75,58.45,Patrick Murphy (DEM) won with 58.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Marlin Moore Post #133,2225,Other,Other,38.6,27.7,30.5,11.1,44.9,13.5,Palmetto Bay
812,Patrick Murphy (DEM),DEM,35.66,66.67,Patrick Murphy (DEM) won with 66.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kingdom Covenant Church,2591,Majority Hispanic,Other,45.4,21.9,13.4,24.9,50.6,11.2,Unincorporated M-D
813,Patrick Murphy (DEM),DEM,53.80,75.78,Patrick Murphy (DEM) won with 75.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Christ the King Catholic Church,4207,Other,Heavily Democrat,53.6,17.5,7.4,38.7,43.2,10.7,Unincorporated M-D
814,Patrick Murphy (DEM),DEM,22.31,59.95,Patrick Murphy (DEM) won with 60% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Glendale Baptist Church,3501,Majority Hispanic,Other,36.7,24.4,16.1,11.3,62.6,10,Unincorporated M-D
815,Patrick Murphy (DEM),DEM,8.73,53.31,Patrick Murphy (DEM) won with 53.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Heights Elementary School,2055,Majority Hispanic,Other,34.2,30.4,9,9.7,74.9,6.5,Unincorporated M-D
816,Patrick Murphy (DEM),DEM,47.94,72.73,Patrick Murphy (DEM) won with 72.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Church of The Ascension,3057,Other,Heavily Democrat,50.5,20.1,7.9,35.2,48.4,8.4,Unincorporated M-D
817,Patrick Murphy (DEM),DEM,58.11,77.96,Patrick Murphy (DEM) won with 78% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Colonial Drive Park,2035,Other,Heavily Democrat,52.1,18.2,7.9,37.2,45.4,9.5,Unincorporated M-D
818,Patrick Murphy (DEM),DEM,81.52,89.21,Patrick Murphy (DEM) won with 89.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ethel F. Beckford/Richmond Elementary School,1849,Majority Black,Heavily Democrat,73.8,6.4,1.2,76.4,15.9,6.5,Unincorporated M-D
819,Marco Rubio (REP),REP,4.37,51.27,Marco Rubio (REP) won with 51.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Palmetto Bay Park,1622,Other,Other,34.8,32.4,39.1,8.8,41.9,10.3,Palmetto Bay
820,Marco Rubio (REP),REP,6.07,51.97,Marco Rubio (REP) won with 52% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Edward & Arlene Feller Community Room,3802,Other,Other,33.6,35.7,43.9,5,41,10.1,Palmetto Bay
821,Patrick Murphy (DEM),DEM,0.74,48.68,Patrick Murphy (DEM) won with 48.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Whispering Pines Elementary School,3354,Other,Other,33.6,34.1,42.1,6.7,43.4,7.8,Cutler Bay
822,Patrick Murphy (DEM),DEM,2.41,50.03,Patrick Murphy (DEM) won with 50% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Cutler Bay Worship Center,2240,Other,Other,33.8,34,38.8,5.8,46.7,8.7,Cutler Bay
823,Patrick Murphy (DEM),DEM,5.74,51.59,Patrick Murphy (DEM) won with 51.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Gulfstream Elementary School,2637,Majority Hispanic,Other,33,33.3,23.5,10.2,56.6,9.7,Cutler Bay
824,Patrick Murphy (DEM),DEM,9.56,52.79,Patrick Murphy (DEM) won with 52.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Pinelands Presbyterian Church,1647,Majority Hispanic,Other,33.3,29.2,26.7,6.1,58.1,9.2,Cutler Bay
